species,lat,lon,present
Dendrolagus lumholtzi,-17.48,145.50,1
Dendrolagus lumholtzi,-17.43,145.49,1
Dendrolagus lumholtzi,-17.58,145.51,1
Dendrolagus lumholtzi,-17.27,145.58,1
Dendrolagus lumholtzi,-17.43,145.49,1
Dendrolagus lumholtzi,-17.50,145.51,0
Dendrolagus lumholtzi,-17.34,145.63,1
Dendrolagus lumholtzi,-17.59,145.46,1
Dendrolagus lumholtzi,-17.38,145.67,1
Dendrolagus lumholtzi,-17.32,145.48,1
Dendrolagus lumholtzi,-17.36,145.62,1
Dendrolagus lumholtzi,-17.38,145.66,1
Dendrolagus lumholtzi,-17.38,145.67,1
Dendrolagus lumholtzi,-17.61,145.77,0
Dendrolagus lumholtzi,-17.31,145.62,0
Dendrolagus lumholtzi,-17.54,145.56,0
Dendrolagus lumholtzi,-17.27,145.58,1
Dendrolagus lumholtzi,-17.33,145.56,1
Dendrolagus lumholtzi,-17.46,145.45,1
Dendrolagus lumholtzi,-17.48,145.50,1
Dendrolagus lumholtzi,-17.27,145.58,1
Dendrolagus lumholtzi,-17.27,145.58,1
Dendrolagus lumholtzi,-17.36,145.59,0
Dendrolagus lumholtzi,-17.28,145.57,0
Dendrolagus lumholtzi,-17.34,145.63,1
Dendrolagus lumholtzi,-17.44,145.46,1
Dendrolagus lumholtzi,-17.36,145.59,1
Dendrolagus lumholtzi,-17.26,145.58,0
species,lat,lon,1
Dendrolagus lumholtzi,-17.27,145.48,0
Dendrolagus lumholtzi,-16.92,145.77,0
Dendrolagus lumholtzi,-17.29,145.57,0
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.35,145.59,0
Dendrolagus lumholtzi,-17.25,145.58,1
Dendrolagus lumholtzi,-17.38,145.67,1
Dendrolagus lumholtzi,-17.27,145.58,1
Dendrolagus lumholtzi,-17.27,145.58,1
Dendrolagus lumholtzi,-17.54,145.63,0
Dendrolagus lumholtzi,-17.43,145.52,0
Dendrolagus lumholtzi,-17.46,145.60,1
Dendrolagus lumholtzi,-16.80,145.70,1
Dendrolagus lumholtzi,-17.43,145.49,1
Dendrolagus lumholtzi,-17.27,145.58,0
Dendrolagus lumholtzi,-17.27,145.58,1
Dendrolagus lumholtzi,-17.36,145.64,0
Dendrolagus lumholtzi,-17.32,145.46,1
Dendrolagus lumholtzi,-17.34,145.58,0
Dendrolagus lumholtzi,-17.33,145.50,1
Dendrolagus lumholtzi,-17.43,145.51,1
Dendrolagus lumholtzi,-17.70,145.53,1
Dendrolagus lumholtzi,-17.43,145.51,1
Dendrolagus lumholtzi,-17.43,145.49,0
Dendrolagus lumholtzi,-17.54,145.47,1
Dendrolagus lumholtzi,-17.27,145.48,1
Dendrolagus lumholtzi,-17.38,145.67,1
Dendrolagus lumholtzi,-17.42,145.61,1
Dendrolagus lumholtzi,-16.97,145.49,1
Dendrolagus lumholtzi,-17.35,145.61,1
Dendrolagus lumholtzi,-17.43,145.52,0
Dendrolagus lumholtzi,-17.41,145.61,0
Dendrolagus lumholtzi,-17.23,145.69,0
Dendrolagus lumholtzi,-17.27,145.42,0
Dendrolagus lumholtzi,-17.44,145.54,0
Dendrolagus lumholtzi,-17.43,145.50,0
Dendrolagus lumholtzi,-17.39,145.67,0
Dendrolagus lumholtzi,-17.61,145.56,0
Dendrolagus lumholtzi,-17.48,145.48,0
Dendrolagus lumholtzi,-17.24,145.57,0
Dendrolagus lumholtzi,-17.45,145.88,0
Dendrolagus lumholtzi,-17.55,145.54,0
Dendrolagus lumholtzi,-17.32,145.51,1
Dendrolagus lumholtzi,-17.38,145.67,1
Dendrolagus lumholtzi,-17.28,145.57,1
Dendrolagus lumholtzi,-17.38,145.67,1
Dendrolagus lumholtzi,-17.38,145.59,1
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.40,145.46,0
Dendrolagus lumholtzi,-17.60,145.63,0
Dendrolagus lumholtzi,-17.29,145.59,0
Dendrolagus lumholtzi,-17.60,145.60,0
Dendrolagus lumholtzi,-17.43,145.49,0
Dendrolagus lumholtzi,-17.33,145.42,0
Dendrolagus lumholtzi,-17.30,145.45,0
Dendrolagus lumholtzi,-17.43,145.49,0
Dendrolagus lumholtzi,-17.27,145.58,0
Dendrolagus lumholtzi,-17.40,145.52,0
Dendrolagus lumholtzi,-17.30,145.43,0
Dendrolagus lumholtzi,-17.27,145.58,0
Dendrolagus lumholtzi,-17.29,145.57,0
Dendrolagus lumholtzi,-17.27,145.56,0
Dendrolagus lumholtzi,-17.29,145.60,0
Dendrolagus lumholtzi,-17.40,145.61,0
Dendrolagus lumholtzi,-17.43,145.51,1
Dendrolagus lumholtzi,-17.38,145.67,1
Dendrolagus lumholtzi,-17.38,145.67,1
Dendrolagus lumholtzi,-17.38,145.38,1
Dendrolagus lumholtzi,-17.38,145.67,1
Dendrolagus lumholtzi,-17.29,145.57,0
Dendrolagus lumholtzi,-17.52,145.50,0
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.29,145.57,0
Dendrolagus lumholtzi,-17.41,145.62,0
Dendrolagus lumholtzi,-17.59,145.59,0
Dendrolagus lumholtzi,-17.28,145.47,0
Dendrolagus lumholtzi,-17.29,145.59,0
Dendrolagus lumholtzi,-17.43,145.49,0
Dendrolagus lumholtzi,-16.92,145.78,0
Dendrolagus lumholtzi,-17.32,145.49,0
Dendrolagus lumholtzi,-18.27,146.02,0
Dendrolagus lumholtzi,-17.35,145.35,0
Dendrolagus lumholtzi,-17.55,145.67,0
Dendrolagus lumholtzi,-17.42,145.68,0
Dendrolagus lumholtzi,-17.30,145.63,0
Dendrolagus lumholtzi,-18.20,145.84,0
Dendrolagus lumholtzi,-17.24,145.57,0
Dendrolagus lumholtzi,-17.43,145.49,0
Dendrolagus lumholtzi,-17.29,145.60,0
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.31,145.62,0
Dendrolagus lumholtzi,-17.54,145.61,0
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.29,145.57,0
Dendrolagus lumholtzi,-17.60,145.48,0
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.27,145.42,0
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.27,145.58,0
Dendrolagus lumholtzi,-17.38,145.67,1
Dendrolagus lumholtzi,-17.47,145.55,1
Dendrolagus lumholtzi,-17.43,145.49,1
Dendrolagus lumholtzi,-17.43,145.51,1
Dendrolagus lumholtzi,-17.53,146.02,1
Dendrolagus lumholtzi,-17.36,145.64,1
Dendrolagus lumholtzi,-17.27,145.58,1
Dendrolagus lumholtzi,-17.43,145.51,1
Dendrolagus lumholtzi,-17.42,145.60,1
Dendrolagus lumholtzi,-17.32,145.42,1
Dendrolagus lumholtzi,-17.27,145.57,1
Dendrolagus lumholtzi,-16.80,145.64,1
Dendrolagus lumholtzi,-17.43,145.51,1
Dendrolagus lumholtzi,-17.33,145.87,1
Dendrolagus lumholtzi,-17.32,145.50,1
Dendrolagus lumholtzi,-17.35,145.45,0
Dendrolagus lumholtzi,-17.30,145.42,0
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.45,145.52,0
Dendrolagus lumholtzi,-17.41,145.52,0
Dendrolagus lumholtzi,-17.27,145.48,0
Dendrolagus lumholtzi,-17.38,145.67,0
